BIBID,FILENAME,TITLE,CATALOG_LINK,CONTRIBUTING_INSTITUTION,OA_POLICY,DISCLAIMER_STMT,piction_PROJECT,piction_INTERNALNOTES,CREATOR,CALL_NUMBER,FORMAT_EXTENT,LANGUAGE,SUBJECTS,PLACE,FORMAT,BIOGRAPHICAL/HISTORICAL NOTE,SUMMARY,DATE_DISPLAY,DATE_SORT,ARCHIVAL_COLLECTION,STANDARDIZED_RIGHTS,DCMIType
577558,z_79_N411_vol_10_017.tif,Selected list of books acquired since January 1920 by the Newberry Library.,https://i-share-nby.primo.exlibrisgroup.com/permalink/01CARLI_NBY/i5mcb2/alma995775588805867,Newberry Library,"The Newberry makes its collections available for any lawful purpose, commercial or non-commercial, without licensing or permission fees to the library, subject to the following terms and conditions: https://www.newberry.org/rights-and-reproductions","All materials in the Newberry Library’s collections have research value and reflect the society in which they were produced. They may contain language and imagery that are offensive because of content relating to: ability, gender, race, religion, sexuality/sexual orientation, and other categories. More information: https://www.newberry.org/sites/default/files/textpage-attachments/Statement_on_Potentially_Offensive_Materials.pdf",,,Newberry Library,gen Z 79 .N411 no. 10 1,"x, 9 p. 27 cm",English,Newberry Library|Acquisitions (Libraries)|Rare books,P|L|A|C|E,,,,,,,Copyright Not Evaluated,
577558,z_79_N411_vol_10_003.tif,Selected list of books acquired since January 1920 by the Newberry Library.,https://i-share-nby.primo.exlibrisgroup.com/permalink/01CARLI_NBY/i5mcb2/alma995775588805867,Newberry Library,"The Newberry makes its collections available for any lawful purpose, commercial or non-commercial, without licensing or permission fees to the library, subject to the following terms and conditions: https://www.newberry.org/rights-and-reproductions","All materials in the Newberry Library’s collections have research value and reflect the society in which they were produced. They may contain language and imagery that are offensive because of content relating to: ability, gender, race, religion, sexuality/sexual orientation, and other categories. More information: https://www.newberry.org/sites/default/files/textpage-attachments/Statement_on_Potentially_Offensive_Materials.pdf",,,Newberry Library,gen Z 79 .N411 no. 10 1,"x, 9 p. 27 cm",English,Newberry Library|Acquisitions (Libraries)|Rare books,P|L|A|C|E,,,,,,,Copyright Not Evaluated,
577558,z_79_N411_vol_10_004.tif,Selected list of books acquired since January 1920 by the Newberry Library.,https://i-share-nby.primo.exlibrisgroup.com/permalink/01CARLI_NBY/i5mcb2/alma995775588805867,Newberry Library,"The Newberry makes its collections available for any lawful purpose, commercial or non-commercial, without licensing or permission fees to the library, subject to the following terms and conditions: https://www.newberry.org/rights-and-reproductions","All materials in the Newberry Library’s collections have research value and reflect the society in which they were produced. They may contain language and imagery that are offensive because of content relating to: ability, gender, race, religion, sexuality/sexual orientation, and other categories. More information: https://www.newberry.org/sites/default/files/textpage-attachments/Statement_on_Potentially_Offensive_Materials.pdf",,,Newberry Library,gen Z 79 .N411 no. 10 1,"x, 9 p. 27 cm",English,Newberry Library|Acquisitions (Libraries)|Rare books,P|L|A|C|E,,,,,,,Copyright Not Evaluated,
577558,z_79_N411_vol_10_005.tif,Selected list of books acquired since January 1920 by the Newberry Library.,https://i-share-nby.primo.exlibrisgroup.com/permalink/01CARLI_NBY/i5mcb2/alma995775588805867,Newberry Library,"The Newberry makes its collections available for any lawful purpose, commercial or non-commercial, without licensing or permission fees to the library, subject to the following terms and conditions: https://www.newberry.org/rights-and-reproductions","All materials in the Newberry Library’s collections have research value and reflect the society in which they were produced. They may contain language and imagery that are offensive because of content relating to: ability, gender, race, religion, sexuality/sexual orientation, and other categories. More information: https://www.newberry.org/sites/default/files/textpage-attachments/Statement_on_Potentially_Offensive_Materials.pdf",,,Newberry Library,gen Z 79 .N411 no. 10 1,"x, 9 p. 27 cm",English,Newberry Library|Acquisitions (Libraries)|Rare books,P|L|A|C|E,,,,,,,Copyright Not Evaluated,
577558,z_79_N411_vol_10_006.tif,Selected list of books acquired since January 1920 by the Newberry Library.,https://i-share-nby.primo.exlibrisgroup.com/permalink/01CARLI_NBY/i5mcb2/alma995775588805867,Newberry Library,"The Newberry makes its collections available for any lawful purpose, commercial or non-commercial, without licensing or permission fees to the library, subject to the following terms and conditions: https://www.newberry.org/rights-and-reproductions","All materials in the Newberry Library’s collections have research value and reflect the society in which they were produced. They may contain language and imagery that are offensive because of content relating to: ability, gender, race, religion, sexuality/sexual orientation, and other categories. More information: https://www.newberry.org/sites/default/files/textpage-attachments/Statement_on_Potentially_Offensive_Materials.pdf",,,Newberry Library,gen Z 79 .N411 no. 10 1,"x, 9 p. 27 cm",English,Newberry Library|Acquisitions (Libraries)|Rare books,P|L|A|C|E,,,,,,,Copyright Not Evaluated,
577558,z_79_N411_vol_10_007.tif,Selected list of books acquired since January 1920 by the Newberry Library.,https://i-share-nby.primo.exlibrisgroup.com/permalink/01CARLI_NBY/i5mcb2/alma995775588805867,Newberry Library,"The Newberry makes its collections available for any lawful purpose, commercial or non-commercial, without licensing or permission fees to the library, subject to the following terms and conditions: https://www.newberry.org/rights-and-reproductions","All materials in the Newberry Library’s collections have research value and reflect the society in which they were produced. They may contain language and imagery that are offensive because of content relating to: ability, gender, race, religion, sexuality/sexual orientation, and other categories. More information: https://www.newberry.org/sites/default/files/textpage-attachments/Statement_on_Potentially_Offensive_Materials.pdf",,,Newberry Library,gen Z 79 .N411 no. 10 1,"x, 9 p. 27 cm",English,Newberry Library|Acquisitions (Libraries)|Rare books,P|L|A|C|E,,,,,,,Copyright Not Evaluated,
577558,z_79_N411_vol_10_008.tif,Selected list of books acquired since January 1920 by the Newberry Library.,https://i-share-nby.primo.exlibrisgroup.com/permalink/01CARLI_NBY/i5mcb2/alma995775588805867,Newberry Library,"The Newberry makes its collections available for any lawful purpose, commercial or non-commercial, without licensing or permission fees to the library, subject to the following terms and conditions: https://www.newberry.org/rights-and-reproductions","All materials in the Newberry Library’s collections have research value and reflect the society in which they were produced. They may contain language and imagery that are offensive because of content relating to: ability, gender, race, religion, sexuality/sexual orientation, and other categories. More information: https://www.newberry.org/sites/default/files/textpage-attachments/Statement_on_Potentially_Offensive_Materials.pdf",,,Newberry Library,gen Z 79 .N411 no. 10 1,"x, 9 p. 27 cm",English,Newberry Library|Acquisitions (Libraries)|Rare books,P|L|A|C|E,,,,,,,Copyright Not Evaluated,
577558,z_79_N411_vol_10_009.tif,Selected list of books acquired since January 1920 by the Newberry Library.,https://i-share-nby.primo.exlibrisgroup.com/permalink/01CARLI_NBY/i5mcb2/alma995775588805867,Newberry Library,"The Newberry makes its collections available for any lawful purpose, commercial or non-commercial, without licensing or permission fees to the library, subject to the following terms and conditions: https://www.newberry.org/rights-and-reproductions","All materials in the Newberry Library’s collections have research value and reflect the society in which they were produced. They may contain language and imagery that are offensive because of content relating to: ability, gender, race, religion, sexuality/sexual orientation, and other categories. More information: https://www.newberry.org/sites/default/files/textpage-attachments/Statement_on_Potentially_Offensive_Materials.pdf",,,Newberry Library,gen Z 79 .N411 no. 10 1,"x, 9 p. 27 cm",English,Newberry Library|Acquisitions (Libraries)|Rare books,P|L|A|C|E,,,,,,,Copyright Not Evaluated,
577558,z_79_N411_vol_10_010.tif,Selected list of books acquired since January 1920 by the Newberry Library.,https://i-share-nby.primo.exlibrisgroup.com/permalink/01CARLI_NBY/i5mcb2/alma995775588805867,Newberry Library,"The Newberry makes its collections available for any lawful purpose, commercial or non-commercial, without licensing or permission fees to the library, subject to the following terms and conditions: https://www.newberry.org/rights-and-reproductions","All materials in the Newberry Library’s collections have research value and reflect the society in which they were produced. They may contain language and imagery that are offensive because of content relating to: ability, gender, race, religion, sexuality/sexual orientation, and other categories. More information: https://www.newberry.org/sites/default/files/textpage-attachments/Statement_on_Potentially_Offensive_Materials.pdf",,,Newberry Library,gen Z 79 .N411 no. 10 1,"x, 9 p. 27 cm",English,Newberry Library|Acquisitions (Libraries)|Rare books,P|L|A|C|E,,,,,,,Copyright Not Evaluated,
577558,z_79_N411_vol_10_011.tif,Selected list of books acquired since January 1920 by the Newberry Library.,https://i-share-nby.primo.exlibrisgroup.com/permalink/01CARLI_NBY/i5mcb2/alma995775588805867,Newberry Library,"The Newberry makes its collections available for any lawful purpose, commercial or non-commercial, without licensing or permission fees to the library, subject to the following terms and conditions: https://www.newberry.org/rights-and-reproductions","All materials in the Newberry Library’s collections have research value and reflect the society in which they were produced. They may contain language and imagery that are offensive because of content relating to: ability, gender, race, religion, sexuality/sexual orientation, and other categories. More information: https://www.newberry.org/sites/default/files/textpage-attachments/Statement_on_Potentially_Offensive_Materials.pdf",,,Newberry Library,gen Z 79 .N411 no. 10 1,"x, 9 p. 27 cm",English,Newberry Library|Acquisitions (Libraries)|Rare books,P|L|A|C|E,,,,,,,Copyright Not Evaluated,
