BIBID,apiurl,FILENAME,TITLE,CREATOR,LANGUAGE,SUBJECTS,PLACE,FORMAT,BIOGRAPHICAL/HISTORICAL NOTE,SUMMARY,DATE_DISPLAY,DATE_SORT,DATE_raw,FORMAT_EXTENT,CALLNUMBER,ARCHIVAL_COLLECTION,CATALOG_LINK,CONTRIBUTING_INSTITUTION,OA_POLICY,DISCLAIMER_STMT,STANDARDIZED_RIGHTS,piction_INTERNALNOTES,piction_PROJECT,DCMIType
427774,https://api-na.hosted.exlibrisgroup.com/almaws/v1/bibs?mms_id=994277748805867&view=full&expand=None&apikey=xxxx,"A 5 .392 (folio), Harpers Weekly, April 6 1864, pg.225.tif",Harper's weekly,,English,,,,,,,,,65 v. ill. 34-41 cm,,,https://i-share-nby.primo.exlibrisgroup.com/permalink/01CARLI_NBY/i5mcb2/alma427774,Newberry Library,"The Newberry makes its collections available for any lawful purpose, commercial or non-commercial, without licensing or permission fees to the library, subject to the following terms and conditions: https://www.newberry.org/rights-and-reproductions","All materials in the Newberry Library’s collections have research value and reflect the society in which they were produced. They may contain language and imagery that are offensive because of content relating to: ability, gender, race, religion, sexuality/sexual orientation, and other categories. More information: https://www.newberry.org/sites/default/files/textpage-attachments/Statement_on_Potentially_Offensive_Materials.pdf",Copyright Not Evaluated,,,Still image
427774,https://api-na.hosted.exlibrisgroup.com/almaws/v1/bibs?mms_id=994277748805867&view=full&expand=None&apikey=xxxx,"A 5 .392 (folio), Harpers Weekly, Dec 17, 1864, pg. 812.tif",Harper's weekly,,English,,,,,,,,,65 v. ill. 34-41 cm,,,https://i-share-nby.primo.exlibrisgroup.com/permalink/01CARLI_NBY/i5mcb2/alma427774,Newberry Library,"The Newberry makes its collections available for any lawful purpose, commercial or non-commercial, without licensing or permission fees to the library, subject to the following terms and conditions: https://www.newberry.org/rights-and-reproductions","All materials in the Newberry Library’s collections have research value and reflect the society in which they were produced. They may contain language and imagery that are offensive because of content relating to: ability, gender, race, religion, sexuality/sexual orientation, and other categories. More information: https://www.newberry.org/sites/default/files/textpage-attachments/Statement_on_Potentially_Offensive_Materials.pdf",Copyright Not Evaluated,,,Still image
427774,https://api-na.hosted.exlibrisgroup.com/almaws/v1/bibs?mms_id=994277748805867&view=full&expand=None&apikey=xxxx,"A 5 .392 (folio), Harpers Weekly, Dec 3, 1864, pg. 780.tif",Harper's weekly,,English,,,,,,,,,65 v. ill. 34-41 cm,,,https://i-share-nby.primo.exlibrisgroup.com/permalink/01CARLI_NBY/i5mcb2/alma427774,Newberry Library,"The Newberry makes its collections available for any lawful purpose, commercial or non-commercial, without licensing or permission fees to the library, subject to the following terms and conditions: https://www.newberry.org/rights-and-reproductions","All materials in the Newberry Library’s collections have research value and reflect the society in which they were produced. They may contain language and imagery that are offensive because of content relating to: ability, gender, race, religion, sexuality/sexual orientation, and other categories. More information: https://www.newberry.org/sites/default/files/textpage-attachments/Statement_on_Potentially_Offensive_Materials.pdf",Copyright Not Evaluated,,,Still image
427774,https://api-na.hosted.exlibrisgroup.com/almaws/v1/bibs?mms_id=994277748805867&view=full&expand=None&apikey=xxxx,"A 5 .392 (folio), Harpers Weekly, May 12, 1860, pg. 289, Republican Wigwam.tif",Harper's weekly,,English,,,,,,,,,65 v. ill. 34-41 cm,,,https://i-share-nby.primo.exlibrisgroup.com/permalink/01CARLI_NBY/i5mcb2/alma427774,Newberry Library,"The Newberry makes its collections available for any lawful purpose, commercial or non-commercial, without licensing or permission fees to the library, subject to the following terms and conditions: https://www.newberry.org/rights-and-reproductions","All materials in the Newberry Library’s collections have research value and reflect the society in which they were produced. They may contain language and imagery that are offensive because of content relating to: ability, gender, race, religion, sexuality/sexual orientation, and other categories. More information: https://www.newberry.org/sites/default/files/textpage-attachments/Statement_on_Potentially_Offensive_Materials.pdf",Copyright Not Evaluated,,,Text
427774,https://api-na.hosted.exlibrisgroup.com/almaws/v1/bibs?mms_id=994277748805867&view=full&expand=None&apikey=xxxx,"A 5 .392 (folio), Harpers Weekly, April 9, 1864, pg. 229.tif",Harper's weekly,,English,,,,,,,,,65 v. ill. 34-41 cm,,,https://i-share-nby.primo.exlibrisgroup.com/permalink/01CARLI_NBY/i5mcb2/alma427774,Newberry Library,"The Newberry makes its collections available for any lawful purpose, commercial or non-commercial, without licensing or permission fees to the library, subject to the following terms and conditions: https://www.newberry.org/rights-and-reproductions","All materials in the Newberry Library’s collections have research value and reflect the society in which they were produced. They may contain language and imagery that are offensive because of content relating to: ability, gender, race, religion, sexuality/sexual orientation, and other categories. More information: https://www.newberry.org/sites/default/files/textpage-attachments/Statement_on_Potentially_Offensive_Materials.pdf",Copyright Not Evaluated,,,Still image
427774,https://api-na.hosted.exlibrisgroup.com/almaws/v1/bibs?mms_id=994277748805867&view=full&expand=None&apikey=xxxx,"A 5 .392 (folio), Harpers Weekly, Oct. 15, 1864, pg.664-665.tif",Harper's weekly,,English,,,,,,,,,65 v. ill. 34-41 cm,,,https://i-share-nby.primo.exlibrisgroup.com/permalink/01CARLI_NBY/i5mcb2/alma427774,Newberry Library,"The Newberry makes its collections available for any lawful purpose, commercial or non-commercial, without licensing or permission fees to the library, subject to the following terms and conditions: https://www.newberry.org/rights-and-reproductions","All materials in the Newberry Library’s collections have research value and reflect the society in which they were produced. They may contain language and imagery that are offensive because of content relating to: ability, gender, race, religion, sexuality/sexual orientation, and other categories. More information: https://www.newberry.org/sites/default/files/textpage-attachments/Statement_on_Potentially_Offensive_Materials.pdf",Copyright Not Evaluated,,,Still image
427774,https://api-na.hosted.exlibrisgroup.com/almaws/v1/bibs?mms_id=994277748805867&view=full&expand=None&apikey=xxxx,"A 5 .392 (folio), Harpers Weekly, Dec 21, 1862, pg. 801.tif",Harper's weekly,,English,,,,,,,,,65 v. ill. 34-41 cm,,,https://i-share-nby.primo.exlibrisgroup.com/permalink/01CARLI_NBY/i5mcb2/alma427774,Newberry Library,"The Newberry makes its collections available for any lawful purpose, commercial or non-commercial, without licensing or permission fees to the library, subject to the following terms and conditions: https://www.newberry.org/rights-and-reproductions","All materials in the Newberry Library’s collections have research value and reflect the society in which they were produced. They may contain language and imagery that are offensive because of content relating to: ability, gender, race, religion, sexuality/sexual orientation, and other categories. More information: https://www.newberry.org/sites/default/files/textpage-attachments/Statement_on_Potentially_Offensive_Materials.pdf",Copyright Not Evaluated,,,Still image
427774,https://api-na.hosted.exlibrisgroup.com/almaws/v1/bibs?mms_id=994277748805867&view=full&expand=None&apikey=xxxx,"A 5 .392 (folio), Harpers Weekly, July 16, 1864, pg. 456-457.tif",Harper's weekly,,English,,,,,,,,,65 v. ill. 34-41 cm,,,https://i-share-nby.primo.exlibrisgroup.com/permalink/01CARLI_NBY/i5mcb2/alma427774,Newberry Library,"The Newberry makes its collections available for any lawful purpose, commercial or non-commercial, without licensing or permission fees to the library, subject to the following terms and conditions: https://www.newberry.org/rights-and-reproductions","All materials in the Newberry Library’s collections have research value and reflect the society in which they were produced. They may contain language and imagery that are offensive because of content relating to: ability, gender, race, religion, sexuality/sexual orientation, and other categories. More information: https://www.newberry.org/sites/default/files/textpage-attachments/Statement_on_Potentially_Offensive_Materials.pdf",Copyright Not Evaluated,,,Still image
427774,https://api-na.hosted.exlibrisgroup.com/almaws/v1/bibs?mms_id=994277748805867&view=full&expand=None&apikey=xxxx,"A 5 .392 (folio), Harpers Weekly, May 19, 1860, pg. 312-313.tif",Harper's weekly,,English,,,,,,,,,65 v. ill. 34-41 cm,,,https://i-share-nby.primo.exlibrisgroup.com/permalink/01CARLI_NBY/i5mcb2/alma427774,Newberry Library,"The Newberry makes its collections available for any lawful purpose, commercial or non-commercial, without licensing or permission fees to the library, subject to the following terms and conditions: https://www.newberry.org/rights-and-reproductions","All materials in the Newberry Library’s collections have research value and reflect the society in which they were produced. They may contain language and imagery that are offensive because of content relating to: ability, gender, race, religion, sexuality/sexual orientation, and other categories. More information: https://www.newberry.org/sites/default/files/textpage-attachments/Statement_on_Potentially_Offensive_Materials.pdf",Copyright Not Evaluated,,,Still image
754872,https://api-na.hosted.exlibrisgroup.com/almaws/v1/bibs?mms_id=997548728805867&view=full&expand=None&apikey=xxxx,"A 5 .93 (folio), Vanity Fair, April 27, 1861, pg. 198 DETAIL.tif",Vanity fair,,English,American periodicals,,,,,,,,7 v. : ill. ; 29 cm,gen folio A 5 .93 1,s,https://i-share-nby.primo.exlibrisgroup.com/permalink/01CARLI_NBY/i5mcb2/alma754872,Newberry Library,"The Newberry makes its collections available for any lawful purpose, commercial or non-commercial, without licensing or permission fees to the library, subject to the following terms and conditions: https://www.newberry.org/rights-and-reproductions","All materials in the Newberry Library’s collections have research value and reflect the society in which they were produced. They may contain language and imagery that are offensive because of content relating to: ability, gender, race, religion, sexuality/sexual orientation, and other categories. More information: https://www.newberry.org/sites/default/files/textpage-attachments/Statement_on_Potentially_Offensive_Materials.pdf",Copyright Not Evaluated,,,Still image
